County,Facility Name,IPSL/MFL,TX CURR
Homa Bay,Nyadenda Health Centre,13870,282
Kisii,Nyagesenda Dispensary,13871,67
Kisii,Nyagiki Dispensary,13872,99
Siaya,Nyagoko Dispensary,13874,382
Homa Bay,Nyagoro Health Centre,13875,1074
Kisii,Nyagoto Dispensary,13876,120
Siaya,Nyaguda Dispensary,13877,701
Kisii,Nyaguta Dispensary,13878,47
Kisumu,Nyahera Sub District Hospital,13880,1185
Kisumu,Nyakach (AIC) Dispensary,13881,580
Kisii,Nyakegogi Dispensary,13882,85
Kisumu,Nyakongo Dispensary,13884,394
Migori,Nyakuru Dispensary,13885,381
Kisii,Nyakwana Dispensary,13886,52
Kisumu,Nyalenda Health Centre,13887,372
Homa Bay,Nyalgosi Dispensary,13889,174
Kisumu,Nyalunya Dispensary,13890,539
Kisii,Nyamache District Hospital,13891,665
Kisii,Nyamagundo Health Centre,13892,218
Kisii,Nyamagwa Health Centre,13893,66
Nyamira,Nyamaiya Health Centre,13894,497
Nyamira,Nyamakoroto Dispensary,13895,60
Migori,Nyamanga Dispensary,13896,247
Migori,Nyamaraga Health Centre,13897,946
Kisumu,Nyamarimba Dispensary,13899,267
Migori,Nyamasare Dispensary,13900,508
Kisii,Nyamasege Dispensary,13901,114
Homa Bay,Nyamasi Dispensary,13902,275
Kisii,Nyamasibi Health Centre,13903,108
Siaya,Nyambare Health Centre,13904,460
Nyamira,Nyambari Geke Dispensary,13905,46
Kisii,Nyambunwa Medical Clinic,13906,19
Migori,Nyamekongoroto Health Centre,13907,35
Kisii,Nyamemiso Dispensary,13908,77
Migori,Nyametaburo Health Centre,13909,96
Migori,Nyametembe Dispensary,13910,3
Nyamira,Nyamira Adventist Health Centre,13911,98
Nyamira,Nyamira District Hospital,13912,1981
Nyamira,Nyamira Maternity and Nursing Home,13913,80
Siaya,Nyamonye Mission Dispensary,13914,271
Homa Bay,Nyamrisra Health Centre,13915,341
Nyamira,Nyamusi Sub-District Hospital,13916,538
Nyamira,Nyanchonori Dispensary,13917,70
Kisii,Nyanchwa Medical Centre,13918,362
Migori,Nyandago Koweru Dispensary,13919,396
Homa Bay,Nyandiwa Dispensary,13920,802
Kisumu,Nyando District Hospital,13921,1837
Nyamira,Nyandoche Ibere Dispensary,13922,41
Kisumu,Nyangande Dispensary,13923,1142
Nyamira,Nyangena Sub District Hospital (Manga),13924,227
Kisii,Nyangena Hospital,13925,69
Homa Bay,Nyangiela Dispensary,13926,615
Migori,Nyangoge Health Centre,13927,45
Kisumu,Nyang'oma Health Centre,13928,1361
Siaya,Nyang'oma Mission Health Centre,13929,1190
Siaya,Nyangu Dispensary,13930,367
Kisii,Nyanko Dispensary,13931,74
Nyamira,Nyankono Dispensary,13932,32
Kisii,Nyansakia Health Centre,13933,176
Kisii,Nyansancha Dispensary,13934,45
Nyamira,Nyansangio Dispensary,13935,156
Nyamira,St Joseph's Nyansiongo Health Centre,13936,111
Nyamira,Nyansiongo Nursing Home,13937,11
Kisii,Nyansira Dispensary,13938,84
Kisumu,Nyanza Provincial General Hospital (PGH),13939,6202
Migori,Nyarongi Dispensary,13940,319
Migori,Nyasese Dispensary,13941,14
Kisii,Nyasike Dispensary,13942,32
Siaya,Nyathengo Dispensary,13944,474
Kisii,Nyatike Health Centre,13945,104
Homa Bay,Nyatoto Health Centre,13946,453
Siaya,Nyawara Health Centre,13947,683
Siaya,Nyenye Misori Dispensary,13948,373
Homa Bay,Nys Dispensary (Suba),13949,102
Homa Bay,Obalwanda Dispensary,13950,394
Homa Bay,Obanga Health Centre,13951,206
Homa Bay,Ober Kabuoch Dispensary,13952,296
Homa Bay,Ober Health Centre,13953,854
Kisumu,Ober Kamoth Health Centre,13954,600
Kisumu,Oboch Dispensary,13955,217
Kisumu,Obumba Dispensary,13956,171
Homa Bay,Obunga Dispensary,13957,344
Homa Bay,Obwanda Dispensary,13958,456
Migori,Ochuna Dispensary,13959,27
Migori,Ogada Dispensary,13960,215
Siaya,Ogam Dispensary,13961,340
Homa Bay,Ogande Dispensary,13962,534
Nyamira,Ogango Dispensary,13963,60
Nyamira,Ogango Health Centre,13964,193
Kisumu,Ogen Dispensary,13965,263
Siaya,Ogero Dispensary,13966,220
Homa Bay,Ogongo Sub-District Hospital,13967,1157
Kisumu,Ogra Health Centre,13968,866
Migori,Ogwedhi Health Centre,13969,631
Kisumu,Ojola Dispensary,13971,281
Homa Bay,Okiki Amayo Health Centre,13972,593
Homa Bay,Olando Dispensary,13974,242
Migori,Olasi Dispensary,13975,830
Kisumu,Olasi Dispensary (Nyando),13976,151
Kisumu,Olps Clinic,13977,1162
Homa Bay,Ombek Dispensary,13978,322
Homa Bay,Ombo Kachieng' Dispensary,13979,440
Homa Bay,Omboga Dispensary,13980,441
Homa Bay,Omiro Dispensary,13981,301
Kisii,Omobera Dispensary,13982,90
Kisii,Nyamogonchoro Dispensary,13983,100
Kisii,Omogwa Dispensary,13984,39
Kisii,Omorembe Health Centre (Gucha),13985,105
Kisii,Omosaria Dispensary,13986,49
Siaya,Ong'ielo Health Centre,13987,1310
Migori,Ongito Dispensary,13988,241
Migori,Ongo Health Centre,13989,782
Kisumu,Opapla Dispensary,13990,211
Kisii,Oresi Health Centre,13991,1206
Kisii,Oroche Dispensary,13992,230
Migori,Oruba Nursing and Maternity Home,13993,24
Nyamira,Orwaki Dispensary,13994,204
Homa Bay,Osano Nursing Home,13995,180
Migori,Osingo Dispensary,13996,380
Migori,Osogo Dispensary,13997,432
Migori,Otacho Dispensary,13998,94
Migori,Otati Dispensary,13999,418
Siaya,Othach Dispensary,14000,90
Migori,Othoch Rakuom Dispensary,14001,835
Homa Bay,Othoro Health Centre (Rachuonyo),14002,830
Migori,Othoro,14003,687
Kisii,Our Lady of Lourdes Dispensary (Gucha),14004,64
Siaya,Ouya Dispensary,14005,231
Siaya,Oyamo Dispensary,14007,157
Migori,Oyani SDA,14008,209
Migori,Oyani Health Centre,14009,805
Homa Bay,Pala Health Centre,14011,1138
Kisumu,Pand Pieri Community Health Centre,14012,2451
Siaya,Pap Kodero Health Centre,14013,962
Migori,Pastor Machage Memorial Hospital,14014,6
Homa Bay,Ponge Dispensary,14015,447
Homa Bay,Ponge,14016,225
Kisumu,Port Florence Hospital,14017,1487
Siaya,Rabar Dispensary,14018,669
Migori,Rabondo Dispensary,14019,295
Kisumu,Rabuor Health Centre,14020,2181
Kisumu,Rachar Sugar Belt Hospital,14021,201
Homa Bay,Rachuonyo District Hospital,14022,3863
Siaya,Radier Dispensary,14023,206
Kisumu,Rae Dispensary,14024,245
Kisii,Raganga Health Centre,14025,354
Siaya,Rageng'ni Dispensary,14026,229
Kisumu,Railways Dispensary (Kisumu),14027,1502
Kisii,Ram Hospital,14028,78
Kisii,Ramasha Dispensary,14029,50
Siaya,Ramula Health Centre,14030,496
Homa Bay,Randung' Dispensary,14031,305
Migori,Ranen (SDA) Dispensary,14032,233
Siaya,Rangala Health Centre,14033,917
Nyamira,Rangenyo Health Centre,14034,29
Homa Bay,Rangwe (SDA) Dispensary,14035,154
Homa Bay,Rangwe Sub-District Hospital,14036,1778
Migori,Rapcom Nursing and Maternity Home,14037,186
Homa Bay,Rariw Dispensary,14038,287
Homa Bay,Raruowa Health Centre,14039,362
Kisumu,Ratta Health Centre,14040,612
Siaya,Rera Dispensary,14042,546
Nyamira,Riakworo Dispensary,14044,84
Kisii,Riana Health Centre,14045,253
Kisumu,Riat Dispensary,14046,150
Migori,Riat Dispensary (Migori),14047,294
Nyamira,Riechieri Health Centre,14048,109
Nyamira,Rietago Dispensary,14049,46
Nyamira,Rigoko Dispensary,14050,45
Nyamira,Rigoma Dispensary,14051,117
Kisii,Riokindo Health Centre,14052,186
Nyamira,Riongige Dispensry,14053,135
Kisii,Riotanchi Health Centre,14054,130
Kisii,Ritumbe Health Centre,14055,46
Homa Bay,Roadblock Clinic,14056,131
Kisumu,Rodi Dispensary,14057,662
Migori,Rongo District Hospital,14058,4482
Homa Bay,St Mercelline Roo Dispensary (Suba),14059,296
Kisumu,Rota Dispensary,14060,270
Migori,Royal Nursing Home,14061,173
Kisii,Rusinga Dispensary,14062,86
Siaya,Rwambwa Health Centre,14063,1251
Siaya,Sagam Community Hospital,14064,273
Nyamira,Samora Clinic,14065,12
Kisumu,Sango Rota Dispensary,14066,381
Siaya,Saradidi Dispensary,14068,385
Migori,Saro Dispensary,14069,603
Siaya,Sega Dispensary,14072,533
Siaya,Sega Health Centre,14073,1009
Homa Bay,Seka Health Centre,14074,354
Homa Bay,Sena Health Centre,14075,656
Kisii,Sengera Health Centre (Gucha),14076,106
Siaya,Serawongo Dispensary,14077,419
Homa Bay,Shirikisho Dispensary,14078,1661
Siaya,Siaya District Hospital,14080,3531
Migori,Sibuoche Dispensary,14082,798
Kisii,Sieka Dispensary,14083,127
Siaya,Sifuyo Dispensary,14084,564
Siaya,Sigomere Health Centre,14085,861
Kisumu,Sigoti Health Centre,14086,402
Siaya,Sikalame Dispensary,14087,406
Kisumu,Simba Opepo Dispensary,14088,212
Homa Bay,Simbi Kogembo Dispensary,14089,274
Homa Bay,Simbiri Nanbell Health Centre,14090,101
Siaya,Simenya Dispensary,14091,583
Homa Bay,Sino Dispensary,14092,200
Siaya,Sirembe Dispensary,14093,398
Kisumu,Siriba Dispensary,14094,104
Homa Bay,Soklo Dispensary,14095,77
Kisumu,Sondu Health Centre,14096,1053
Migori,Sony Medical Centre,14097,1341
Migori,Sori Lakeside Nursing and Maternity Home,14098,504
Kisii,Sosera Dispensary,14099,44
Nyamira,Sotik Highlands Dispensary,14100,59
Migori,St Akidiva Memorial Hospital,14101,7
Migori,St Barnabas Dispensary,14102,346
Migori,St Camillus Mission Hospital,14103,3072
Kisumu,St Clare Bolo Health Centre,14104,1022
Kisumu,St Elizabeth Chiga Health Centre,14106,2263
Siaya,Uhuyi Dispensary,14107,77
Migori,St Joseph Mission Hospital,14110,3423
Siaya,St Joseph's Obaga Dispensary,14111,196
Homa Bay,St Jude Health Centre (Icipe),14112,20
Kisumu,St Mark's Lela Dispensary,14118,248
Kisumu,St Monica Hospital,14120,2451
Migori,St Monica Rapogi Health Centre,14121,2542
Nyamira,St Norah's Clinc,14122,3
Siaya,St Paul Dispensary,14123,836
Homa Bay,St Paul's Health Centre,14124,1520
Kisumu,St Vincents De Paul Health Centre,14128,559
Kisumu,Star Maternity & Nursing Home,14129,89
Homa Bay,SDH/Sindo,14130,2561
Kisii,Suguta Health Centre,14131,190
Siaya,Sumba Community Dispensary,14133,200
Migori,Suna Nursing and Maternity Home,14134,30
Migori,Suna Rabuor Dispensary,14135,319
Migori,Suna Ragana Dispensary,14136,606
Homa Bay,Swindon Clinic,14138,198
Kisii,Tabaka Mission Hospital,14139,1454
Homa Bay,Takawiri Dispensary,14140,134
Kisumu,Tamu Health Centre,14141,321
Kisii,Taracha Dispensary,14142,59
Migori,Taranganya Dispensary,14144,28
Nyamira,Tindereti Dispensary,14145,29
Nyamira,Tinga Health Centre,14146,398
Siaya,Tingare Dispensary,14147,423
Siaya,Ting'wangi Health Centre,14148,696
Migori,Tisinye Dispensary,14149,89
Homa Bay,Tom Mboya Memorial Health Centre,14150,807
Nyamira,Tombe Health Centre (Manga),14151,245
Homa Bay,Tonga Health Centre,14152,151
Homa Bay,Ugina Health Centre,14155,298
Siaya,Ukwala Health Centre,14156,1819
Migori,Ulanda Dispensary,14157,318
Siaya,Ulungo Dispensary,14158,199
Siaya,Urenga Dispensary,14159,561
Siaya,Uriri Dispensary,14160,188
Migori,Uriri Health Centre,14161,1463
Homa Bay,Usao Health Centre,14162,391
Siaya,Usenge Dispensary,14163,396
Siaya,Usigu Dispensary,14164,1235
Siaya,Uyawi Dispensary,14165,1123
Migori,Verna Health Centre,14166,1244
Homa Bay,Viagenco Medical Centre,14167,47
Homa Bay,Wagwe Health Centre,14168,555
Homa Bay,Wakula Health Centre,14169,332
Migori,Wath Onger Dispensary,14170,756
Homa Bay,Waware Dispensary,14171,603
Homa Bay,Wiga Dispensary,14172,291
Migori,Winjo Dispensary,14173,182
Homa Bay,Wire Dispensary,14174,729
Siaya,Yala Sub-District Hospital,14175,1961
Homa Bay,Yokia Dispensary,14176,268
Nakuru,Family Healthoptions Kenya (Nakuru),14177,418
Kericho,AIC Litein Mission Hospital,14178,1382
Nandi,Nandi Hills District Hospital,14179,1533
Kericho,Ainamoi Health Centre,14192,97
West Pokot,Alale (AIC) Health Centre,14196,1
West Pokot,Amakuriat Dispensary,14198,37
Kajiado,Amboseli Dispensary,14200,5
Trans Nzoia,Andersen Medical Centre,14203,307
Kajiado,Sucos Hospital,14204,13
Narok,Angata Health Centre,14205,124
Nakuru,Annex Hospital (Nakuru),14207,75
Turkana,Aposta Dispensary,14209,31
Samburu,Archers Post Health Centre,14212,64
Bomet,Arroket Dispensary,14215,123
Elgeyo Marakwet,Arror Health Centre,14216,27
Elgeyo Marakwet,Assumption Sisters Dispensary,14218,5
Nakuru,Bahati District Hospital,14224,929
Samburu,Baragoi Sub-District Hospital,14228,130
Samburu,Barsaloi GK Dispensary,14237,6
Elgeyo Marakwet,Biretwa Dispensary,14256,9
Kajiado,Bisil Health Centre,14259,265
Bomet,Bomet Health Centre,14261,449
Nakuru,Bondeni Dispensary (Nakuru Central),14263,171
Nakuru,Bondeni Maternity,14265,75
Uasin Gishu,Burnt Forest Catholic Dispensary,14274,1
Uasin Gishu,Cedar Associate Clinic,14280,36
Bomet,Chamalal Dispensary,14285,7
Bomet,Changoi Dispensary,14287,10
Bomet,Chebangang Health Centre,14289,255
Elgeyo Marakwet,Chebiemit District Hospital,14294,98
Bomet,Chebilat Dispensary,14295,53
Bomet,Chebitet Dispensary,14298,106
Kericho,Cheborgei Health Centre,14300,157
Elgeyo Marakwet,Chebororwa Health Centre,14301,43
Bomet,Cheboyo Dispensary,14302,31
Bomet,Chebunyo Dispensary,14304,314
Elgeyo Marakwet,Chegilet Dispensary,14306,27
Bomet,Chemaner Dispensary (Bomet),14311,44
Kericho,Chemase Dispensary,14314,36
Nandi,Chemase Health Centre,14315,107
Kericho,Chemosot Health Centre,14323,155
Elgeyo Marakwet,Chemworor Health Center,14327,26
West Pokot,Chepareria Sub District Hospital,14330,212
Bomet,Chepchabas Dispensary,14331,60
Trans Nzoia,Chepchoina Dispensary,14332,46
Uasin Gishu,Chepkanga Health Centre,14335,159
Uasin Gishu,Chepkemel Dispensary,14337,3
Nandi,Chepkemel Health Centre (Mosop),14339,70
Elgeyo Marakwet,Chepkorio Health Centre,14346,150
Nandi,Chepkumia Dispensary,14348,123
Uasin Gishu,Chepngoror Dispensary,14355,1
Uasin Gishu,Chepsaita Dispensary,14358,54
Kericho,Chepsir Dispensary,14362,183
Trans Nzoia,Chepsiro Dispensary,14363,8
Bomet,Cheptabes Dispensary,14365,25
Bomet,Cheptalal Sub-District Hospital,14366,163
Nandi,Chepterwai Sub-District Hospital,14369,176
Elgeyo Marakwet,Cheptongei Dispensary,14373,61
Uasin Gishu,Cheramei Dispensary,14377,79
Trans Nzoia,Cherangany Health Centre,14379,750
Bomet,Chesoen Dispensary,14384,48
Elgeyo Marakwet,Chesongoch Sub-District Hospital,14386,21
Narok,Cmf Aitong Health Centre,14394,88
Laikipia,Doldol Sub District Hospital,14404,45
Nakuru,Dundori Health Centre,14424,328
Nakuru,Eburru Dispensary,14425,34
Nakuru,Egerton University,14426,160
Narok,Elangata Enterit Dispensary,14427,32
Nakuru,Elburgon Sub-District Hospital,14431,718
Baringo,Eldama Ravine District Hospital,14432,901
Turkana,Elelea Health Centre,14436,12
Uasin Gishu,Elgeyo Border Dispensary,14437,42
Narok,Emarti Health Centre,14442,18
Kajiado,Embul - Bul Catholic Dispensary,14445,207
Baringo,Emining Health Centre,14446,89
Narok,Emurua Dikirr Dispensary,14452,125
Narok,Enabelbel Health Centre,14453,142
Trans Nzoia,Endebess District Hospital,14455,440
Elgeyo Marakwet,Endo Health Centre,14456,1
Nakuru,Engashura Health Centre,14458,172
Samburu,Ngilai Dispensary,14459,15
Narok,Enoosaen Health Centre,14465,181
Kajiado,Entarara Health Centre,14467,150
Kajiado,Entasopia Health Centre,14469,33
Baringo,Esageri Health Centre,14477,68
Narok,Entasekera Health Centre,14479,40
Narok,Ewaso Ngiro Health Centre,14485,562
Kericho,Finlay Flowers Dispensary,14497,61
Nakuru,Fitc Dispensary,14498,395
Elgeyo Marakwet,Flax Dispensary,14499,34
Elgeyo Marakwet,Flourspar Health Centre,14500,72
Kericho,Forttenan Sub District Hospital,14501,222
Nakuru,Gilgil Astu Dispensary,14508,83
Nakuru,Gilgil Sub-District Hospital,14510,1385
Trans Nzoia,GK Farm Prisons Dispensary Trans Nzoia,14514,90
Nakuru,GK Prison Annex Dispensary (Naivasha),14516,123
Kajiado,GK Prison Dispensary (Athi River),14517,311
Uasin Gishu,GK Prisons Dispensary (Eldoret East),14519,72
Kericho,GK Prisons Dispensary (Kericho),14521,284
Narok,GK Prisons Dispensary (Narok),14523,13
Uasin Gishu,GK Prisons Dispensary (Ngeria),14524,52
Turkana,GK Prisons Dispensary (Turkana Central),14527,61
Bomet,Gorgor Dispensary,14531,3
Nakuru,Holy Spirit Health Centre,14549,49
Nakuru,Finlays Hospital,14551,261
Laikipia,Huruma Health Centre (Laikipia East),14553,503
Uasin Gishu,Huruma District Hospital,14555,1306
Nakuru,Ikumbi Health Centre,14559,88
Narok,Ilaiser Dispensary,14562,67
Kajiado,Immurtot Health Centre,14573,80
Nakuru,Industrial Area Dispensary,14575,49
Turkana,Irc Kakuma Hospital,14579,592
Bomet,Irwaga Health Centre,14580,62
Kajiado,Isinya Health Centre,14582,435
Bomet,Itembe Dispensary,14585,31
Elgeyo Marakwet,Iten District Hospital,14586,1124
Kericho,Jamji Medical Centre,14592,159
Kericho,JFK Engineering Disp,14596,27
Kericho,JFK Li Dispensary,14597,79
Turkana,Juluk Dispensary,14601,2
Turkana,Kaaleng Dispensary,14604,21
Nakuru,Kabarak Health Centre,14606,319
Baringo,Kabarnet District Hospital,14607,995
Baringo,Kabartonjo District Hospital,14609,159
Nakuru,Kabatini Health Centre,14610,102
Nakuru,Kabazi Health Centre,14611,251
Kericho,Kabianga Health Centre,14613,175
West Pokot,Kabichbich Health Centre,14615,88
Nandi,Kabiemit Dispensary (Mosop),14618,182
Nandi,Kabiyet Health Centre,14623,281
Narok,Kabolecho Dispensary,14626,8
Bomet,Kaboson Dispensary,14628,121
Nandi,Kabirirsang Dispensary,14630,66
Nandi,Kabunyeria Health Centre,14632,55
Kericho,Kabutii-Matiret Dispensary,14633,194
West Pokot,Kacheliba District Hospital,14634,371
Nandi,Kaiboi Mission Health Centre,14640,154
Turkana,Kaikor Health Centre,14643,39
Turkana,Kainuk Health Centre,14645,109
Trans Nzoia,Kaisagat Dispensary,14646,9
Kajiado,Kajiado District Hospital,14652,779
Turkana,Kakuma Mission Hospital,14655,436
Laikipia,Kalalu Dispensary,14659,110
Turkana,Kalemungorok Dispensary,14660,57
Turkana,St Bridgit Kalemunyang Dispensary,14661,54
Turkana,Kalokol (AIC) Health Centre,14663,279
Nakuru,Kamara Dispensary,14668,30
Elgeyo Marakwet,Kamogo health centre,14674,11
Kericho,Kamwingi Dispensary,14679,48
Elgeyo Marakwet,Kamwosor Health Centre,14680,110
Turkana,Kanakurudio Health Centre,14681,14
West Pokot,Kanyarkwat Health Centre,14689,40
Elgeyo Marakwet,Kapcherop Health Centre,14695,160
West Pokot,Kapenguria District Hospital,14701,1816
Nandi,Kapkangani Health Centre,14704,544
Kericho,Kapkatet District Hospital,14706,1548
Bomet,Kapkesosio Dispensary,14714,55
Bomet,Kapkimolwa Dispensary,14717,41
Trans Nzoia,Kapkoi Dispensary (Kwanza),14720,143
Elgeyo Marakwet,Kapkoi Health Centre (Keiyo North),14721,11
Bomet,Kapkoros Health Centre,14728,342
Nakuru,Kapkures Dispensary (Nakuru Central),14733,550
Trans Nzoia,Kaplamai Health Centre,14734,170
Bomet,Kaplong Hospital,14741,419
Nandi,Kapsabet District Hospital,14749,2570
Trans Nzoia,Kapsara District Hospital,14753,331
Narok,Kapsasian Dispensary,14754,9
Nandi,Kapsisiywo Dispensary,14761,144
Elgeyo Marakwet,Kapsowar (AIC) Hospital,14767,151
Uasin Gishu,Kapsoya Health Centre,14769,2
West Pokot,Kaptabuk Dispensary (West Pokot),14772,7
Elgeyo Marakwet,Kaptalamwa Health Centre,14774,39
Elgeyo Marakwet,Kaptarakwa Sub-District Hospital,14776,47
Bomet,Kaptembwo,14780,0
Elgeyo Marakwet,Kapteren Health Centre,14781,89
Uasin Gishu,Kaptumo Dispensary,14791,1
Nandi,Kaptumo Sub-District Hospital,14792,391
Elgeyo Marakwet,Kapyego Health Center,14798,27
Uasin Gishu,Kapyemit Dispensary,14799,6
Nakuru,Karagita Dispensary,14801,254
Nakuru,Karunga Dispensary,14805,34
Turkana,Kataboi Dispensary,14814,72
Turkana,Katilu District Hospital,14818,195
Kericho,Kedowa Dispensary,14824,225
Nandi,Kemeloi Health Centre,14825,152
Bomet,Kenyagoro Dispensary,14828,2
Kericho,Kericho District Hospital,14831,5633
Nakuru,Keringet Health Centre (Kuresoi),14836,584
West Pokot,Keringet Health Centre,14837,77
Turkana,Kerio Health Centre,14838,38
Uasin Gishu,Kesses Health Centre,14841,139
Nakuru,Kiambogo Dispensary (Naivasha),14845,117
Nandi,Kibwareng Health Centre,14857,128
Nandi,Kilibwoni Health Centre,14866,145
Kajiado,Kimana Health Centre,14868,569
Laikipia,Kimanjo Dispensary,14869,47
Trans Nzoia,Kiminini Cottage Hospital,14872,253
Elgeyo Marakwet,Kimnai Dispensary,14874,8
Uasin Gishu,Kipkabus,14893,53
Kericho,Kipkelion Sub District Hospital,14897,234
Kericho,Kipketer Dispensary,14899,200
Kericho,Kipsitet Dispensary,14919,223
Bomet,Kipsonoi Health Centre,14920,91
Bomet,Kipsuter Dispensary,14921,19
Nakuru,Kiptagich Model Health centre,14924,188
Nakuru,Kiptangwanyi Dispensary,14926,122
Kericho,Kiptere Dispensary,14928,142
Bomet,Kiptulwa Dispensary,14932,27
Kericho,Kipwastuiyo Health Centre,14935,47
Baringo,Kisanana Health Centre,14940,74
Samburu,Kisima Health Centre,14943,100
Trans Nzoia,Kitalale Dispensary,14946,52
Trans Nzoia,Kitale District Hospital,14947,9194
Kajiado,Kitengela Health Centre,14950,1452
Kajiado,Kitengela Medical Services,14951,293
Bomet,Kitoben Dispensary,14952,17
Nakuru,Kiwamu Dispensary,14954,89
Trans Nzoia,Kobos Dispensary,14958,13
Elgeyo Marakwet,Kocholwo Sub-District Hospital,14961,8
Nandi,Koilot Health Centre,14965,126
Bomet,Koiwa Health Centre,14970,236
Bomet,Koiwa Medical Clinic,14971,129
Trans Nzoia,Kolongolo M Dispensary,14981,1
West Pokot,Konyao Dispensary,14988,50
Turkana,Kopeeto Dispensary,14989,5
Narok,Kurangurik Dispensary,15002,309
Trans Nzoia,Kwanza Health Centre,15003,197
Laikipia,Lamuria Dispensary (Laikipia East),15007,75
Nakuru,Lanet Health Centre,15008,435
Nakuru,Langa Langa Health Centre,15009,1521
Uasin Gishu,Langas RCEA,15011,158
Nakuru,Lare Health Centre,15013,135
Samburu,Latakweny Dispensary,15014,18
Elgeyo Marakwet,Lelboinet Health Centre (Keiyo),15019,5
Kericho,Lemotit Dispensary,15026,96
Samburu,Lesirikan Health Centre,15029,11
Nandi,Ollessos Community Dispensary,15030,86
Turkana,Letea Dispensary,15031,9
Turkana,Lochwaangikamatak Dispensary,15045,9
Turkana,Lodwar District Hospital,15049,1580
Kajiado,Loitokitok District Hospital,15051,1244
Turkana,Lokichar (RCEA) Health Centre,15057,299
Turkana,Lokichogio (AIC) Health Centre,15059,282
Turkana,Lokitaung District Hospital,15062,91
Turkana,Lokori (AIC) Health Centre,15064,14
Turkana,Lokwii Dispensary,15067,4
Narok,Lolgorian Sub District Hosp,15068,342
West Pokot,Lomut Dispensary,15073,35
Kericho,Londiani District Hospital,15074,753
Samburu,Longewan Dispensary,15076,5
Bomet,Longisa Distrioct Hospital,15077,2311
Turkana,Lopiding Sub-District Hospital,15081,158
Turkana,St Elizabeth Lorugum Health Centre,15089,76
Turkana,Lowarengak Dispensary,15096,120
Bomet,Lugumek Dispensary,15100,25
Nakuru,Maiela Health Centre,15106,208
Kajiado,Magadi Hospital,15107,87
Nakuru,Mai Mahiu Health Centre,15108,406
Bomet,Makimeny Dispensary,15116,102
Turkana,Makutano Health Centre (Turkana West),15117,77
Samburu,Maralal District Hospital,15126,612
Narok,Mararianta Dispensary,15128,52
West Pokot,Marich Dispensary,15130,11
Baringo,Marigat Sub District Hospital,15138,514
Bomet,Marinyin Dispensary,15139,66
Kajiado,Mashuru Health Centre,15150,113
Laikipia,Matanya Dispensary,15152,87
Nakuru,Mau Narok Health Centre,15156,545
Uasin Gishu,Mediheal Hospital,15167,17
Uasin Gishu,Meibeki Dispensary,15169,1
Laikipia,Melwa Health Centre,15170,86
Baringo,Mercy Hospital,15174,185
Bomet,Merigi Dispensary,15178,148
Nandi,Meteitei Sub-District Hospital,15181,378
Nakuru,Mirugi Kariuki Dispensary,15188,195
Elgeyo Marakwet,Mogil Health Centre,15193,7
Bomet,Mogogosiek Health Centre,15195,340
Nakuru,Mogotio Rhdc,15200,506
Uasin Gishu,Moi Teaching Refferal Hospital,15204,15242
Uasin Gishu,Moi University Health Centre,15205,142
Uasin Gishu,Moiben Health Centre,15206,230
Uasin Gishu,Moi's Bridge Catholic,15208,2
Uasin Gishu,Moi's Bridge Health Centre,15209,1544
Nakuru,Molo District Hospital,15212,1743
Kericho,Momoniat Health Centre,15219,104
Bomet,Monirre Dispensary,15220,21
Nandi,Mosoriot Rural Health Centre,15229,2653
Nakuru,Mother Kevin Dispensary (Catholic),15232,351
Elgeyo Marakwet,Msekekwa Health Centre,15238,63
Trans Nzoia,Mt Elgon National Park Dispensary,15240,52
Kericho,Mtaragon Health Centre,15242,58
Narok,Mulot Catholic Dispensary,15251,105
Laikipia,Muramati Dispensary,15253,34
West Pokot,Murkwijit dispensary,15257,20
Elgeyo Marakwet,Muskut Health Centre,15260,16
Nakuru,Nacoharg Medical Centre,15272,92
Turkana,Nadapal Dispensary,15273,14
Turkana,Nadoto Dispensary,15275,4
Narok,Naikara dispensary,15276,32
Narok,Nairagie-Enkare Health Centre,15277,266
Narok,Naisoya Dispensary,15279,17
Nakuru,Naivasha District Hospital,15280,2815
Nakuru,Naivasha Max Prison Health Centre,15281,258
Nakuru,Naivasha (AIC) Medical Centre,15282,2165
Turkana,Nakurio Dispensary,15285,7
Nakuru,Nakuru Provincial General Hospital (PGH),15288,8288
Nakuru,Nakuru War Memorial Hospital,15289,72
Nakuru,Nakuru West (PCEA) Health Centre,15290,271
Turkana,Nakwamoru Health Centre,15292,120
Kajiado,Namanga Health Centre,15294,396
Kajiado,Namelok Health Centre,15296,101
Turkana,Namoruputh (PAG) Health Centre,15299,28
Turkana,Namukuse Dispensary,15301,126
Turkana,Nanam Dispensary,15303,8
Laikipia,Nanyuki Cottage Hospital,15304,304
Laikipia,Nanyuki District Hospital,15305,2201
Turkana,Nariokotome Dispensary,15310,98
Narok,Narok District Hospital,15311,1560
Narok,Naroosura Health Centre,15312,144
Turkana,Natira Dispensary,15315,16
Nakuru,Ndabibi Dispensary,15318,63
Bomet,Ndanai,15322,394
Bomet,Ndarawetta Dispensary,15323,51
Laikipia,Ndindika Health Centre,15325,505
Trans Nzoia,Neema Medical Clinic (Trans Nzoia West),15329,2
Nakuru,Neissuit Dispensary,15331,69
Laikipia,Ngarua Health Centre,15339,203
Narok,Ngito Dispensary,15348,124
Laikipia,Ngobit Dispensary,15349,71
